Hidropatia Total,Hidropatia Media,Hidropatia C-Terminal,Carga C-Terminal,Aminoacidos Basicos C-Terminal,Dupla Helice,Sinal Nuclear,Sinal Mitocondrial,Dominio Prenilacao,c#CLASSE
-253.6,-0.66,-22.9,2,4,1,0,1,0,1
-396.4,-0.55,-68.1,-4,5,1,0,1,0,1
-1189.7,-0.32,-7.2,1,2,1,1,0,0,1
-318.6,-0.33,-3.9,3,4,1,0,1,0,1
-230.8,-0.37,-13.5,0,4,1,0,0,0,1
-215.2,-0.34,-17.2,1,4,1,0,0,0,1
-205.0,-0.33,-11.7,-5,0,1,0,0,0,1
-580.4,-0.86,-19.0,-2,3,1,0,0,0,1
-506.8,-0.5,-4.8,-3,1,1,0,0,0,1
-306.2,-0.66,-23.5,-1,2,1,0,0,0,1
-237.0,-0.37,-8.5,-4,2,1,0,0,0,1
-323.6,-0.34,-15.2,1,1,1,0,0,0,1
-226.2,-0.25,-4.4,0,2,1,0,0,0,1
-264.4,-0.72,-34.7,4,6,1,0,0,0,1
-285.4,-0.25,-32.9,7,9,1,0,1,0,1
-563.9,-0.4,-22.7,1,2,1,0,0,0,1
-1862.8,-0.44,-22.9,3,4,1,1,1,0,1
-409.4,-0.94,-30.6,5,6,1,0,0,0,1
-316.7,-0.24,-9.4,-1,1,1,1,0,0,1
-265.9,-0.42,-52.2,-4,4,1,0,0,0,1
-530.1,-0.33,-3.3,1,3,1,0,0,1,1
-205.1,-0.85,-24.9,4,7,1,0,0,0,1
-377.8,-0.48,-17.9,-2,3,1,1,0,0,1
-223.6,-0.35,-27.6,5,7,1,0,0,0,1
-314.7,-0.37,-32.5,8,9,1,0,1,0,1
-301.3,-0.73,-22.7,5,5,1,0,1,0,1
-263.7,-0.69,-22.9,2,4,1,0,1,0,1
-378.2,-0.69,-12.3,0,3,1,0,0,0,1
-362.4,-0.51,-61.6,0,7,1,0,1,0,1
-355.7,-0.5,-34.9,-1,4,1,1,0,0,1
-336.5,-0.41,-4.7,1,3,1,0,1,0,1
-378.4,-0.48,-15.3,1,4,1,1,0,0,1
-431.6,-0.77,-20.4,-3,1,1,0,0,0,1
-500.3,-0.49,-4.7,-4,0,1,0,0,0,1
-244.1,-0.52,-12.0,1,2,1,0,1,0,1
-265.6,-0.42,-47.4,-5,4,1,0,0,0,1
-1742.8,-0.4,-20.7,3,6,1,1,0,0,1
-599.0,-0.41,-16.3,1,3,1,0,0,0,1
-261.8,-0.23,-33.8,5,7,1,1,1,0,1
-305.0,-0.8,-37.0,4,5,1,0,0,0,1
-413.1,-0.39,-18.6,1,4,1,0,0,0,1
-258.5,-0.41,-13.3,-4,2,1,0,0,0,1
-341.7,-0.85,-15.9,3,3,1,0,1,0,1
-427.3,-1.04,-34.1,5,7,0,0,0,0,1
-497.6,-0.61,-16.3,2,3,1,0,0,0,1
-294.8,-0.22,-2.2,3,5,1,1,1,0,1
-330.7,-0.44,-15.1,-2,2,1,1,0,0,1
-327.4,-0.38,-32.4,9,10,1,0,1,0,1
-259.4,-0.68,-14.0,3,4,1,0,0,0,1
-269.6,-0.44,-13.2,-5,2,1,0,0,0,1
-1051.4,-0.46,-11.0,1,3,1,0,1,0,1
-320.0,-0.48,-20.8,9,10,1,1,0,0,1
-332.8,-0.29,-19.9,-1,2,1,1,1,0,1
-264.5,-0.41,-53.6,-5,4,1,0,0,0,1
-253.5,-0.37,-58.9,0,6,1,0,1,0,1
-284.1,-0.34,-49.4,2,6,1,0,0,0,1
-204.9,-0.44,-19.5,0,3,1,1,0,0,1
-758.4,-0.69,-6.4,2,4,1,0,0,0,1
-1578.8,-0.47,-25.2,3,4,1,1,1,0,1
-326.1,-0.27,-14.3,-1,2,1,1,1,0,1
-467.7,-0.38,-35.0,2,4,1,0,1,0,1
-315.4,-0.37,-10.1,-1,3,1,0,1,0,1
-295.1,-0.5,-15.8,3,5,1,0,0,0,1
-311.5,-0.37,-0.1,-2,2,1,0,0,0,1
-218.2,-0.86,-29.6,3,4,1,0,1,0,1
-200.1,-0.22,-10.0,-1,4,1,1,1,0,1
-352.2,-0.34,-18.5,-1,4,1,0,1,0,1
-253.1,-0.17,-20.7,1,2,1,0,1,0,1
-339.3,-0.57,-24.3,1,5,1,0,1,0,1
-291.1,-0.33,-14.8,7,8,1,1,1,0,1
-291.8,-0.39,-50.0,-7,3,1,0,1,0,1
-302.3,-0.82,-52.3,7,7,1,0,1,0,1
-583.6,-0.73,-35.0,4,5,1,0,1,0,1
-804.0,-0.64,-13.3,4,5,1,0,0,0,1
-270.7,-0.59,-24.5,-8,1,1,1,0,0,1
-218.4,-0.53,-3.9,1,2,1,0,1,0,1
-1689.8,-0.53,-42.2,1,5,1,1,1,0,1
-468.5,-0.52,-5.4,-2,2,1,1,0,0,1
-580.5,-0.48,-33.5,3,6,1,0,0,0,1
-1328.9,-0.47,-23.9,3,6,1,1,1,0,1
-711.3,-0.46,-9.0,3,5,1,1,1,0,1
-358.4,-0.44,-29.0,-2,2,1,1,0,0,1
-576.7,-0.43,-15.1,2,4,1,0,1,0,1
-710.3,-0.42,-14.8,-3,2,1,0,1,0,1
-203.9,-0.4,-21.3,-1,4,1,1,1,0,1
-552.8,-0.4,-24.9,3,3,1,0,1,0,1
-750.9,-0.37,-1.1,0,2,1,0,0,0,1
-510.5,-0.34,-22.6,5,6,1,1,0,0,1
-292.9,-0.33,-13.2,7,7,1,0,0,0,1
-260.0,-0.26,-22.5,3,4,1,0,1,0,1
-546.0,-0.22,-22.9,2,5,1,0,0,0,1
-725.3,-0.21,-19.4,-2,2,1,1,0,0,1
-265.1,-0.49,-21.8,5,6,1,0,0,0,1
-299.3,-0.55,-14.2,5,6,1,0,0,0,1
-342.3,-0.64,-16.1,5,6,1,0,0,0,1
-625.5,-1.17,-41.2,1,4,1,0,0,0,1
-459.4,-0.99,-14.1,5,6,1,0,0,0,1
-936.3,-1.12,-26.6,3,5,1,1,1,0,1
-513.9,-0.51,-3.4,3,5,1,0,1,0,1
-254.2,-0.48,-7.8,0,4,1,0,0,0,1
-77.2,-0.15,-23.6,-1,2,1,0,0,0,1
-101.0,-1.44,-29.6,4,6,1,0,0,0,1
-105.8,-0.41,-12.8,-1,3,1,0,1,0,1
-126.1,-0.29,-17.2,2,4,1,0,1,0,1
-395.4,-0.3,-11.6,-2,1,1,1,0,0,1
-176.8,-0.45,-41.5,1,5,1,0,0,0,1
-62.3,-0.22,1.7,1,2,0,0,1,0,1
-281.0,-0.25,2.7,-1,2,1,1,0,0,1
-717.7,-0.38,-29.4,-1,4,1,0,0,0,1
-28.3,-0.15,-23.6,-4,1,0,0,0,0,1
-95.0,-0.3,-7.4,-2,2,1,0,1,0,1
-180.3,-0.49,-7.7,-3,2,1,0,0,0,1
-809.0,-0.53,-19.6,1,5,1,1,1,0,1
-81.2,-0.31,-5.0,-1,1,1,0,0,0,1
-71.9,-0.3,-17.0,-1,6,1,0,0,0,1
-478.3,-0.43,-11.2,-1,3,1,0,0,0,1
-286.6,-0.57,-5.0,-7,1,1,0,1,0,1
-267.0,-0.71,-9.9,0,3,1,0,0,0,1
11.4,0.05,-6.8,-1,3,1,0,0,0,1
-124.6,-0.54,-30.2,-2,4,1,0,1,0,1
-182.7,-0.2,-15.3,1,1,1,1,1,0,1
-703.6,-0.49,-3.3,-1,1,1,1,1,0,1
-202.7,-0.58,-52.0,4,9,1,0,0,0,1
-55.5,-0.1,-19.1,1,4,1,0,1,0,1
-191.1,-0.37,-22.5,5,5,1,0,0,0,1
-125.3,-0.47,-23.5,-1,4,1,0,1,0,1
-302.3,-0.45,-44.8,0,6,1,0,1,0,1
-147.3,-0.3,-17.7,0,4,1,0,0,0,1
53.9,0.19,-18.6,-2,2,1,0,1,0,1
-219.3,-0.3,18.0,1,2,1,0,0,0,1
-23.9,-0.05,-33.2,-1,3,1,0,1,0,1
-198.0,-0.44,-44.2,-8,2,1,0,0,0,1
-211.1,-0.4,-13.7,2,5,1,0,0,0,1
-355.2,-0.37,-22.6,3,6,1,1,0,0,1
-229.4,-0.4,-20.2,1,6,1,0,0,0,1
-42.9,-0.18,-16.6,-2,3,1,0,1,0,1
-674.0,-0.92,-22.5,1,4,1,0,1,0,1
-44.8,-0.15,-18.2,0,3,1,0,1,0,1
-5.5,-0.01,-14.1,-2,3,1,0,1,0,1
-205.9,-0.64,-15.5,1,5,1,0,0,0,1
-42.8,-0.19,-4.0,1,3,1,0,0,0,1
-338.8,-0.58,-33.2,-1,3,1,0,0,0,1
-72.4,-0.28,-3.2,-3,3,1,0,1,0,1
-123.5,-0.74,-46.6,-8,2,0,0,0,0,1
-219.2,-0.29,-16.2,-1,2,1,0,1,0,1
-192.4,-0.38,-21.4,-2,2,1,0,1,0,1
-134.6,-0.53,-27.2,-2,3,1,0,0,0,1
